img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 8.26, pts_middle_encoder: 10.93, pts_backbone: 1.77, pts_neck: 0.34, pts_bbox_head: 12.38
img_backbone: 17.24, img_neck: 0.33, pts_voxel_encoder: 8.17, pts_middle_encoder: 11.45, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.51
img_backbone: 17.21, img_neck: 0.34, pts_voxel_encoder: 8.12, pts_middle_encoder: 12.40, pts_backbone: 1.77, pts_neck: 0.34, pts_bbox_head: 12.37
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 8.20, pts_middle_encoder: 12.16, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.38
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 8.08, pts_middle_encoder: 11.65, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.37
img_backbone: 17.19, img_neck: 0.41, pts_voxel_encoder: 8.15, pts_middle_encoder: 11.43, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.40
img_backbone: 17.24, img_neck: 0.33, pts_voxel_encoder: 8.06, pts_middle_encoder: 12.52, pts_backbone: 1.76, pts_neck: 0.34, pts_bbox_head: 12.46
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 8.09, pts_middle_encoder: 12.29, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.37
img_backbone: 17.19, img_neck: 0.32, pts_voxel_encoder: 8.39, pts_middle_encoder: 12.19, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.41
img_backbone: 17.24, img_neck: 0.33, pts_voxel_encoder: 8.25, pts_middle_encoder: 12.66, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.46
img_backbone: 17.21, img_neck: 0.32, pts_voxel_encoder: 8.50, pts_middle_encoder: 13.11, pts_backbone: 1.80, pts_neck: 0.33, pts_bbox_head: 12.65
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 8.53, pts_middle_encoder: 12.77, pts_backbone: 1.79, pts_neck: 0.34, pts_bbox_head: 12.51
img_backbone: 17.24, img_neck: 0.32, pts_voxel_encoder: 8.16, pts_middle_encoder: 12.50, pts_backbone: 1.79, pts_neck: 0.34, pts_bbox_head: 12.54
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 8.10, pts_middle_encoder: 12.63, pts_backbone: 1.78, pts_neck: 0.33, pts_bbox_head: 12.41
img_backbone: 17.21, img_neck: 0.33, pts_voxel_encoder: 8.08, pts_middle_encoder: 13.27, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.53
img_backbone: 17.26, img_neck: 0.34, pts_voxel_encoder: 8.01, pts_middle_encoder: 13.37, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.51
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 8.04, pts_middle_encoder: 13.24, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.45
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 8.20, pts_middle_encoder: 13.50, pts_backbone: 1.78, pts_neck: 0.34, pts_bbox_head: 12.57
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 8.18, pts_middle_encoder: 12.77, pts_backbone: 1.79, pts_neck: 0.34, pts_bbox_head: 12.47
img_backbone: 17.20, img_neck: 0.32, pts_voxel_encoder: 8.08, pts_middle_encoder: 13.63, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.21, img_neck: 0.32, pts_voxel_encoder: 8.08, pts_middle_encoder: 13.20, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.44
img_backbone: 17.20, img_neck: 0.34, pts_voxel_encoder: 8.13, pts_middle_encoder: 12.46, pts_backbone: 1.78, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.21, img_neck: 0.33, pts_voxel_encoder: 8.31, pts_middle_encoder: 12.46, pts_backbone: 1.78, pts_neck: 0.34, pts_bbox_head: 12.51
img_backbone: 17.23, img_neck: 0.33, pts_voxel_encoder: 7.87, pts_middle_encoder: 11.84, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.42
